Plant Name,Soil Type,Soil pH,Temperature,Rainfall (mm),Required Fertilizer,Common Pests & Recommended Pesticides
Tomato,Clayey,6.7,35,1812,Organic Compost,Rust - Mancozeb
Ginger,Loamy,6.6,19,2283,NPK Fertilizer,Thrips - Spinosad
Cashew,Clayey Loam,6.4,11,1018,Potassium Nitrate,Rust - Mancozeb
Bamboo,Laterite,6.3,11,1792,DAP,Rust - Mancozeb
Pomegranate,Red,7,28,1571,Potassium Nitrate,Late Blight - Mancozeb
Pineapple,Laterite,5.6,16,1333,Potash Fertilizer,Blister Blight - Copper Oxychloride
Cotton,Laterite,5.7,15,2499,Sulfur Fertilizer,Scab - Captan
Jackfruit,Loamy,6.5,28,660,Farmyard Manure,Bollworm - Cypermethrin
Watermelon,Sandy Loam,7.2,13,504,Urea,Coffee Rust - Propiconazole
Sunflower,Clayey Loam,7.3,28,1158,Phosphate Fertilizer,Leaf Curl - Imidacloprid
Carrot,Laterite,6.1,32,2262,Calcium Ammonium Nitrate,Stem Borer - Carbaryl
Potato,Sandy Loam,5.8,10,1368,Phosphate Fertilizer,Late Blight - Mancozeb
Cashew,Laterite,6.7,19,394,Farmyard Manure,Late Blight - Mancozeb
Peach,Red,7.1,35,1538,Potash Fertilizer,Panama Wilt - Thiophanate
Ginger,Sandy,5.6,15,1644,Farmyard Manure,Bollworm - Cypermethrin
Pomegranate,Sandy Loam,7.2,13,1968,Potash Fertilizer,Red Rot - Carbendazim
Tea,Loamy,6,34,2368,Sulfur Fertilizer,Coffee Rust - Propiconazole
Jackfruit,Clayey,6.4,17,1828,NPK Fertilizer,Anthracnose - Carbendazim
Mahogany,Sandy Loam,6,32,1813,Phosphate Fertilizer,Leaf Curl - Imidacloprid
Okra,Red,6.4,18,2064,Calcium Ammonium Nitrate,Scab - Captan
Potato,Sandy Loam,6.9,26,1555,Sulfur Fertilizer,Stem Borer - Carbaryl
Pomegranate,Sandy,7,18,1262,Potash Fertilizer,Late Blight - Mancozeb
Mustard,Clayey,6.4,12,479,Potash Fertilizer,Anthracnose - Carbendazim
Mango,Clayey Loam,6.4,34,1783,Calcium Ammonium Nitrate,Leaf Curl - Imidacloprid
Maize,Sandy Loam,6.4,18,2156,DAP,Rust - Mancozeb
Eucalyptus,Laterite,7.2,14,1925,Organic Compost,Panama Wilt - Thiophanate
Mango,Laterite,5.6,16,1474,NPK Fertilizer,Blast - Tricyclazole
Green Gram,Mountain,6.3,31,2047,DAP,Rust - Propiconazole
Strawberry,Sandy,6.3,25,1133,Organic Compost,Mealybug - Buprofezin
Onion,Black,7.3,33,413,DAP,Red Rot - Carbendazim
Banana,Red,7.3,23,1006,Farmyard Manure,Stem Borer - Carbaryl
Banana,Loamy,5.9,30,1568,Phosphate Fertilizer,Panama Wilt - Thiophanate
Jackfruit,Sandy,6.2,32,2149,Urea,Anthracnose - Carbendazim
Guava,Red,7,30,2294,NPK Fertilizer,Rust - Mancozeb
Pineapple,Loamy,6.6,26,352,Sulfur Fertilizer,Blast - Tricyclazole
Wheat,Sandy Loam,6.3,32,502,Urea,Blast - Tricyclazole
Cauliflower,Sandy,5.7,35,2258,NPK Fertilizer,Powdery Mildew - Sulfur
Basil,Clayey,5.7,31,841,Potassium Nitrate,Stem Borer - Carbaryl
Cauliflower,Mountain,5.9,18,342,Potassium Nitrate,Bud Rot - Copper Oxychloride
Tomato,Sandy,7.4,34,1303,Potassium Nitrate,Aphids - Imidacloprid
Maize,Laterite,5.7,19,2443,Calcium Ammonium Nitrate,Scab - Captan
Green Gram,Black,6.8,24,1279,Potassium Nitrate,Bud Rot - Copper Oxychloride
Spinach,Alluvial,5.6,10,1216,Potassium Nitrate,Scab - Captan
Okra,Alluvial,7.5,20,1490,Potassium Nitrate,Mealybug - Buprofezin
Okra,Clayey Loam,6.5,19,1578,NPK Fertilizer,Rust - Propiconazole
Aloe Vera,Red,5.6,23,345,Organic Compost,Anthracnose - Carbendazim
Eucalyptus,Mountain,6.5,10,414,Sulfur Fertilizer,Leaf Spot - Chlorothalonil
Cauliflower,Mountain,7.4,25,2209,Farmyard Manure,Mealybug - Buprofezin
Okra,Sandy,7.1,18,1694,Calcium Ammonium Nitrate,Blast - Tricyclazole
Potato,Sandy,6.6,11,1713,Potassium Nitrate,Panama Wilt - Thiophanate
Mango,Alluvial,7.4,28,692,Urea,Aphids - Imidacloprid
Carrot,Sandy,5.8,15,1207,Farmyard Manure,Scab - Captan
Soybean,Sandy,7.3,22,1592,Calcium Ammonium Nitrate,Stem Borer - Carbaryl
Mahogany,Black,5.9,18,1843,Potash Fertilizer,Rust - Mancozeb
Spinach,Clayey Loam,6.3,16,314,Sulfur Fertilizer,Rust - Propiconazole
Neem,Loamy,5.8,10,1751,Calcium Ammonium Nitrate,Bollworm - Cypermethrin
Bamboo,Sandy,5.9,35,1244,Farmyard Manure,Late Blight - Mancozeb
Mango,Sandy Loam,5.6,17,457,Potash Fertilizer,Anthracnose - Carbendazim
Jute,Mountain,6.4,25,2310,Potash Fertilizer,Leaf Spot - Chlorothalonil
Sugarcane,Clayey,6,22,2285,Urea,Scab - Captan
Pumpkin,Black,7.2,15,685,Farmyard Manure,Bud Rot - Copper Oxychloride
Neem,Black,5.6,27,2114,NPK Fertilizer,Rust - Propiconazole
Jute,Black,7.1,33,992,Organic Compost,Late Blight - Mancozeb
Cashew,Sandy,5.7,30,432,Urea,Powdery Mildew - Sulfur
Mahogany,Mountain,6.5,17,921,Potassium Nitrate,Rust - Mancozeb
Papaya,Laterite,7.1,30,726,DAP,Blast - Tricyclazole
Ginger,Laterite,7.4,35,349,DAP,Panama Wilt - Thiophanate
Radish,Laterite,6.8,21,1623,Urea,Rust - Mancozeb
Peas,Red,6.3,29,1884,Phosphate Fertilizer,Stem Borer - Carbaryl
Onion,Loamy,7.2,24,1299,Urea,Leaf Spot - Chlorothalonil
Cotton,Laterite,6.1,11,861,Sulfur Fertilizer,Anthracnose - Carbendazim
Mango,Laterite,6.2,33,1008,Potassium Nitrate,Leaf Spot - Chlorothalonil
Cashew,Clayey,6.2,23,737,Urea,Red Rot - Carbendazim
Sugarcane,Alluvial,7.4,31,2151,Farmyard Manure,Thrips - Spinosad
Eucalyptus,Mountain,5.6,14,1843,DAP,Rust - Propiconazole
Jackfruit,Alluvial,6.4,18,1478,Urea,Anthracnose - Carbendazim
Spinach,Sandy,6.4,12,1864,Organic Compost,Powdery Mildew - Sulfur
Bamboo,Sandy Loam,5.7,33,845,NPK Fertilizer,Leaf Curl - Imidacloprid
Pear,Alluvial,5.6,13,2035,Urea,Aphids - Imidacloprid
Sugarcane,Loamy,5.7,11,505,Phosphate Fertilizer,Thrips - Spinosad
Blueberry,Black,6.8,19,1787,Potassium Nitrate,Bollworm - Cypermethrin
Basil,Loamy,6.1,15,895,Potash Fertilizer,Blast - Tricyclazole
Black Gram,Sandy Loam,7.2,32,1651,Phosphate Fertilizer,Bollworm - Cypermethrin
Sunflower,Mountain,6.4,18,442,Potash Fertilizer,Thrips - Spinosad
Pineapple,Clayey Loam,6.1,17,735,DAP,Bud Rot - Copper Oxychloride
Lentils,Black,5.5,14,547,Potassium Nitrate,Stem Borer - Carbaryl
Bamboo,Alluvial,5.7,29,1636,Sulfur Fertilizer,Rust - Propiconazole
Cabbage,Red,6.7,23,2315,NPK Fertilizer,Coffee Rust - Propiconazole
Brinjal,Sandy,6.2,26,2126,NPK Fertilizer,Bollworm - Cypermethrin
Chili,Clayey,6.5,27,1272,Phosphate Fertilizer,Blister Blight - Copper Oxychloride
Coconut,Clayey Loam,7.1,18,1533,Potassium Nitrate,Stem Borer - Carbaryl
Mango,Laterite,6.6,15,2018,Potassium Nitrate,Blast - Tricyclazole
Turmeric,Laterite,6.5,14,1247,Calcium Ammonium Nitrate,Rust - Propiconazole
Lentils,Alluvial,7.3,28,1914,Urea,Scab - Captan
Strawberry,Black,7.3,27,2334,Potassium Nitrate,Bollworm - Cypermethrin
Turmeric,Mountain,6.2,16,2412,Sulfur Fertilizer,Red Rot - Carbendazim
Lentils,Sandy Loam,6.5,29,533,Potassium Nitrate,Leaf Curl - Imidacloprid
Tomato,Loamy,5.8,28,327,Sulfur Fertilizer,Aphids - Imidacloprid
Pumpkin,Black,7,10,1578,Potash Fertilizer,Blast - Tricyclazole
Onion,Alluvial,6.8,16,2181,DAP,Scab - Captan
Tomato,Red,6.8,10,715,Organic Compost,Anthracnose - Carbendazim
Black Gram,Clayey,6.2,34,1461,Calcium Ammonium Nitrate,Leaf Spot - Chlorothalonil
Jute,Sandy Loam,6.4,17,1662,Phosphate Fertilizer,Mealybug - Buprofezin
Okra,Clayey,6.1,34,1461,Organic Compost,Aphids - Imidacloprid
Radish,Clayey,7.1,10,1380,DAP,Anthracnose - Carbendazim
Peach,Sandy Loam,6.4,25,1420,NPK Fertilizer,Late Blight - Mancozeb
Lentils,Alluvial,7,27,1305,Calcium Ammonium Nitrate,Aphids - Imidacloprid
Eucalyptus,Red,6.5,26,1288,Urea,Coffee Rust - Propiconazole
Ginger,Black,7.3,32,1778,Sulfur Fertilizer,Panama Wilt - Thiophanate
Turmeric,Black,6.7,16,1622,Organic Compost,Powdery Mildew - Sulfur
Basil,Mountain,5.8,23,1145,Sulfur Fertilizer,Powdery Mildew - Sulfur
Carrot,Sandy,6.6,32,2104,Calcium Ammonium Nitrate,Panama Wilt - Thiophanate
Turmeric,Clayey Loam,6,31,1953,DAP,Stem Borer - Carbaryl
Pumpkin,Loamy,5.5,27,1997,Organic Compost,Anthracnose - Carbendazim
Sugarcane,Sandy Loam,7.1,13,465,Organic Compost,Aphids - Imidacloprid
Lentils,Clayey Loam,6.3,32,960,Sulfur Fertilizer,Thrips - Spinosad
Cabbage,Mountain,5.7,27,2271,Farmyard Manure,Blast - Tricyclazole
Mustard,Clayey,6,33,1088,Sulfur Fertilizer,Bollworm - Cypermethrin
Jute,Clayey Loam,5.7,27,1297,Phosphate Fertilizer,Red Rot - Carbendazim
Eucalyptus,Red,7.3,15,1934,Organic Compost,Late Blight - Mancozeb
Turmeric,Mountain,7,15,683,Potassium Nitrate,Coffee Rust - Propiconazole
Black Gram,Black,6.6,14,1764,Phosphate Fertilizer,Red Rot - Carbendazim
Potato,Clayey Loam,7.2,20,1190,NPK Fertilizer,Anthracnose - Carbendazim
Coconut,Loamy,6.7,17,2455,Phosphate Fertilizer,Rust - Mancozeb
Coconut,Black,7.5,26,706,NPK Fertilizer,Stem Borer - Carbaryl
Papaya,Sandy Loam,6.7,35,2496,DAP,Leaf Spot - Chlorothalonil
Eucalyptus,Alluvial,7.2,10,2379,Urea,Blast - Tricyclazole
Peach,Alluvial,7.3,28,2022,Potassium Nitrate,Mealybug - Buprofezin
Soybean,Alluvial,5.7,14,2279,Farmyard Manure,Thrips - Spinosad
Eucalyptus,Sandy Loam,6.2,24,2026,Phosphate Fertilizer,Blast - Tricyclazole
Spinach,Black,7.5,13,1680,Sulfur Fertilizer,Stem Borer - Carbaryl
Carrot,Sandy Loam,7.1,17,369,DAP,Blister Blight - Copper Oxychloride
Lentils,Clayey Loam,5.7,11,2136,NPK Fertilizer,Leaf Curl - Imidacloprid
Pear,Clayey Loam,5.6,34,1692,Potash Fertilizer,Stem Borer - Carbaryl
Peas,Loamy,7.3,16,1561,Phosphate Fertilizer,Leaf Curl - Imidacloprid
Tea,Clayey,6.4,12,846,Farmyard Manure,Bollworm - Cypermethrin
Maize,Mountain,5.8,12,739,Organic Compost,Thrips - Spinosad
Radish,Alluvial,7,18,1832,Potash Fertilizer,Mealybug - Buprofezin
Jackfruit,Loamy,6.6,32,1442,Sulfur Fertilizer,Mealybug - Buprofezin
Banana,Mountain,6.9,13,2299,Farmyard Manure,Bud Rot - Copper Oxychloride
Pineapple,Loamy,6.1,23,2226,Calcium Ammonium Nitrate,Blister Blight - Copper Oxychloride
Black Gram,Black,5.6,15,2269,Sulfur Fertilizer,Blast - Tricyclazole
Papaya,Clayey,6,32,1990,Farmyard Manure,Rust - Propiconazole
Watermelon,Mountain,5.9,18,1928,Sulfur Fertilizer,Anthracnose - Carbendazim
Coffee,Clayey,6.7,12,2062,Urea,Red Rot - Carbendazim
Cashew,Loamy,7.1,11,616,DAP,Mealybug - Buprofezin
Brinjal,Sandy,7,31,2377,NPK Fertilizer,Stem Borer - Carbaryl
Ginger,Mountain,7.4,27,1072,Urea,Rust - Mancozeb
Groundnut,Black,7.2,35,1115,Potassium Nitrate,Late Blight - Mancozeb
Coconut,Clayey,6,30,381,Organic Compost,Blister Blight - Copper Oxychloride
Pear,Red,6.2,25,913,Phosphate Fertilizer,Bud Rot - Copper Oxychloride
Black Gram,Sandy Loam,5.8,10,2197,NPK Fertilizer,Stem Borer - Carbaryl
Pumpkin,Mountain,6.1,10,1852,Potash Fertilizer,Blast - Tricyclazole
Pineapple,Laterite,7.2,24,788,Farmyard Manure,Rust - Propiconazole
Eucalyptus,Red,6.5,21,1747,DAP,Stem Borer - Carbaryl
Apple,Red,7,21,2080,NPK Fertilizer,Bud Rot - Copper Oxychloride
Okra,Sandy,5.6,25,1467,Calcium Ammonium Nitrate,Coffee Rust - Propiconazole
Okra,Clayey Loam,6.3,29,1359,Farmyard Manure,Rust - Mancozeb
Tomato,Clayey Loam,5.5,16,2265,Potassium Nitrate,Stem Borer - Carbaryl
Strawberry,Laterite,6.6,29,2001,Urea,Stem Borer - Carbaryl
Mustard,Sandy Loam,6.6,30,1647,Potash Fertilizer,Red Rot - Carbendazim
Radish,Clayey,6,20,995,Potash Fertilizer,Panama Wilt - Thiophanate
Cotton,Mountain,5.9,35,1138,Phosphate Fertilizer,Mealybug - Buprofezin
Pumpkin,Red,7.4,12,549,Potash Fertilizer,Stem Borer - Carbaryl
Blueberry,Sandy Loam,7.1,19,2374,Organic Compost,Scab - Captan
Watermelon,Alluvial,7,16,1455,Potassium Nitrate,Blister Blight - Copper Oxychloride
Banana,Clayey Loam,6.2,10,1878,Potassium Nitrate,Aphids - Imidacloprid
Cashew,Laterite,6.5,33,879,DAP,Bollworm - Cypermethrin
Mango,Black,6,20,2430,NPK Fertilizer,Leaf Curl - Imidacloprid
Jackfruit,Red,6.3,23,811,NPK Fertilizer,Stem Borer - Carbaryl
Mango,Loamy,6.8,17,742,Urea,Coffee Rust - Propiconazole
Lentils,Clayey Loam,7.3,13,1969,Potash Fertilizer,Thrips - Spinosad
Papaya,Clayey Loam,7.3,28,994,DAP,Stem Borer - Carbaryl
Ginger,Laterite,7.2,26,409,Urea,Bud Rot - Copper Oxychloride
Cabbage,Mountain,5.7,11,1144,Potassium Nitrate,Rust - Propiconazole
Bamboo,Sandy,6.3,20,2258,Potash Fertilizer,Panama Wilt - Thiophanate
Peach,Black,6.9,13,721,Farmyard Manure,Rust - Mancozeb
Ginger,Sandy Loam,7.3,26,432,Calcium Ammonium Nitrate,Bud Rot - Copper Oxychloride
Onion,Laterite,5.9,11,751,DAP,Late Blight - Mancozeb
Maize,Clayey,6.2,10,2269,Potash Fertilizer,Leaf Curl - Imidacloprid
Brinjal,Loamy,7.4,11,712,Farmyard Manure,Stem Borer - Carbaryl
Coconut,Mountain,5.6,33,1660,Organic Compost,Thrips - Spinosad
Potato,Clayey,6.8,22,2306,DAP,Powdery Mildew - Sulfur
Green Gram,Mountain,5.9,29,820,Potash Fertilizer,Rust - Mancozeb
Aloe Vera,Laterite,5.8,28,1911,Phosphate Fertilizer,Bud Rot - Copper Oxychloride
Spinach,Clayey Loam,6.8,11,1176,Sulfur Fertilizer,Thrips - Spinosad
Rice,Sandy Loam,6.8,26,727,Urea,Scab - Captan
Brinjal,Alluvial,6.6,34,1705,Organic Compost,Scab - Captan
Potato,Mountain,7.4,11,2401,Sulfur Fertilizer,Bud Rot - Copper Oxychloride
Jute,Alluvial,7.4,26,1286,NPK Fertilizer,Late Blight - Mancozeb
Potato,Clayey,6.1,22,1324,Farmyard Manure,Coffee Rust - Propiconazole
Turmeric,Black,6,11,2326,Organic Compost,Leaf Spot - Chlorothalonil
Pomegranate,Clayey,6.4,16,1266,Sulfur Fertilizer,Bollworm - Cypermethrin
Cashew,Black,6.9,21,1865,Potassium Nitrate,Rust - Mancozeb
Peach,Mountain,6.4,19,318,Farmyard Manure,Anthracnose - Carbendazim
Apple,Red,7.1,29,808,Sulfur Fertilizer,Bollworm - Cypermethrin
Apple,Clayey Loam,7,18,2422,Potassium Nitrate,Coffee Rust - Propiconazole
Cotton,Sandy Loam,6.4,22,1417,DAP,Stem Borer - Carbaryl
Blueberry,Red,6.2,23,2304,Potassium Nitrate,Blister Blight - Copper Oxychloride
Watermelon,Laterite,7.1,10,822,Potash Fertilizer,Rust - Mancozeb
Brinjal,Alluvial,5.8,28,1544,Potassium Nitrate,Blast - Tricyclazole
Banana,Black,6.8,15,1077,Urea,Aphids - Imidacloprid
Spinach,Laterite,6.5,20,1919,DAP,Mealybug - Buprofezin
Peas,Sandy,6.5,34,1076,Potassium Nitrate,Late Blight - Mancozeb
Neem,Clayey Loam,7.5,11,918,Potassium Nitrate,Late Blight - Mancozeb
Eucalyptus,Clayey Loam,7.3,34,1778,Potassium Nitrate,Leaf Spot - Chlorothalonil
Basil,Sandy,7,30,908,Urea,Rust - Propiconazole
Okra,Mountain,5.6,29,395,Sulfur Fertilizer,Panama Wilt - Thiophanate
Mahogany,Red,6.9,28,1377,Potassium Nitrate,Stem Borer - Carbaryl
Cashew,Mountain,6,32,1675,Sulfur Fertilizer,Leaf Spot - Chlorothalonil
Jute,Black,6.7,30,818,DAP,Rust - Mancozeb
Mustard,Loamy,6,32,1249,Sulfur Fertilizer,Blast - Tricyclazole
Cashew,Sandy Loam,6.2,21,624,NPK Fertilizer,Leaf Curl - Imidacloprid
Strawberry,Red,7,25,581,Organic Compost,Rust - Propiconazole
Basil,Sandy,6.9,13,1677,DAP,Scab - Captan
Pumpkin,Clayey,5.6,35,306,DAP,Late Blight - Mancozeb
Blueberry,Loamy,6.7,16,1744,Potassium Nitrate,Coffee Rust - Propiconazole
Watermelon,Clayey,6.1,14,1578,DAP,Red Rot - Carbendazim
Brinjal,Alluvial,7.4,27,2464,Potassium Nitrate,Blast - Tricyclazole
Peach,Clayey,5.5,33,1007,Potash Fertilizer,Scab - Captan
Apple,Alluvial,6.3,29,1984,Sulfur Fertilizer,Bollworm - Cypermethrin
Turmeric,Loamy,5.9,23,1131,Sulfur Fertilizer,Leaf Curl - Imidacloprid
Groundnut,Alluvial,7,15,2161,Organic Compost,Late Blight - Mancozeb
Pomegranate,Alluvial,7.4,18,403,Sulfur Fertilizer,Bud Rot - Copper Oxychloride
Okra,Clayey Loam,6.8,28,348,Calcium Ammonium Nitrate,Powdery Mildew - Sulfur
Cashew,Mountain,6.8,25,1541,Organic Compost,Aphids - Imidacloprid
Apple,Red,6.9,31,2375,Calcium Ammonium Nitrate,Blister Blight - Copper Oxychloride
Turmeric,Laterite,5.7,31,1729,NPK Fertilizer,Scab - Captan
Green Gram,Loamy,6.3,22,1190,Organic Compost,Coffee Rust - Propiconazole
Mustard,Clayey Loam,6.1,25,1578,Farmyard Manure,Red Rot - Carbendazim
Pear,Alluvial,6,19,1526,Organic Compost,Leaf Spot - Chlorothalonil
Neem,Clayey Loam,6.1,12,1696,Calcium Ammonium Nitrate,Blister Blight - Copper Oxychloride
Aloe Vera,Clayey Loam,5.9,11,315,Potassium Nitrate,Red Rot - Carbendazim
Apple,Laterite,5.8,31,2232,DAP,Mealybug - Buprofezin
Wheat,Mountain,7,14,1390,Urea,Red Rot - Carbendazim
Jackfruit,Sandy Loam,6.5,16,2084,Organic Compost,Powdery Mildew - Sulfur
Ginger,Mountain,6.6,17,1333,DAP,Panama Wilt - Thiophanate
Okra,Sandy,5.7,15,2040,Farmyard Manure,Anthracnose - Carbendazim
Rice,Laterite,6.2,15,472,DAP,Anthracnose - Carbendazim
Potato,Sandy Loam,6.9,16,2478,Potash Fertilizer,Bollworm - Cypermethrin
Black Gram,Black,5.6,22,2112,Urea,Anthracnose - Carbendazim
Ginger,Sandy,6.9,28,2452,Phosphate Fertilizer,Bud Rot - Copper Oxychloride
Onion,Clayey,6.3,26,1102,Potash Fertilizer,Scab - Captan
Pumpkin,Black,6.6,11,1748,DAP,Bollworm - Cypermethrin
Cashew,Black,6.4,21,2112,Sulfur Fertilizer,Scab - Captan
Sunflower,Mountain,6.9,32,1379,Potash Fertilizer,Rust - Propiconazole
Coconut,Mountain,7,32,2205,Phosphate Fertilizer,Mealybug - Buprofezin
Jackfruit,Clayey Loam,6.7,26,837,NPK Fertilizer,Blast - Tricyclazole
Green Gram,Loamy,6.3,19,1262,Farmyard Manure,Thrips - Spinosad
Watermelon,Sandy,7.4,14,2446,Potash Fertilizer,Red Rot - Carbendazim
Wheat,Laterite,7.2,11,1539,Urea,Bollworm - Cypermethrin
Onion,Mountain,5.9,30,859,Phosphate Fertilizer,Stem Borer - Carbaryl
Pumpkin,Black,6.9,25,326,NPK Fertilizer,Coffee Rust - Propiconazole
Radish,Laterite,6.5,18,2480,Phosphate Fertilizer,Thrips - Spinosad
Wheat,Mountain,6.1,30,2359,Calcium Ammonium Nitrate,Mealybug - Buprofezin
Basil,Alluvial,6.1,10,1230,NPK Fertilizer,Mealybug - Buprofezin
Radish,Clayey Loam,5.5,16,632,Urea,Anthracnose - Carbendazim
Pumpkin,Clayey,6.8,21,1971,Calcium Ammonium Nitrate,Red Rot - Carbendazim
Peas,Sandy,6.3,21,2215,NPK Fertilizer,Blast - Tricyclazole
Watermelon,Alluvial,7.3,10,881,Potassium Nitrate,Bollworm - Cypermethrin
Cabbage,Sandy Loam,7.2,14,542,Farmyard Manure,Late Blight - Mancozeb
Basil,Laterite,5.7,20,1054,Potassium Nitrate,Blast - Tricyclazole
Mango,Red,6.8,12,2358,Sulfur Fertilizer,Bud Rot - Copper Oxychloride
Wheat,Sandy Loam,7.1,25,458,NPK Fertilizer,Leaf Spot - Chlorothalonil
Jute,Sandy Loam,7,23,754,Potassium Nitrate,Coffee Rust - Propiconazole
Groundnut,Alluvial,5.6,14,1966,Potassium Nitrate,Thrips - Spinosad
Maize,Laterite,7.1,17,1622,DAP,Bud Rot - Copper Oxychloride
Pumpkin,Mountain,7.2,30,2315,Potash Fertilizer,Powdery Mildew - Sulfur
Green Gram,Alluvial,7.4,12,1880,Urea,Leaf Spot - Chlorothalonil
Coconut,Alluvial,6,31,1933,DAP,Bud Rot - Copper Oxychloride
Rice,Clayey Loam,6.8,12,756,Farmyard Manure,Rust - Propiconazole
Tea,Mountain,7.2,28,2358,Sulfur Fertilizer,Bollworm - Cypermethrin
Lentils,Laterite,7.3,17,1444,Urea,Panama Wilt - Thiophanate
Peas,Clayey Loam,7,17,1048,NPK Fertilizer,Rust - Mancozeb
Mango,Clayey Loam,7.1,31,1751,DAP,Anthracnose - Carbendazim
Cotton,Laterite,6.6,24,707,NPK Fertilizer,Anthracnose - Carbendazim
Sunflower,Sandy,6.8,13,657,Urea,Blast - Tricyclazole
Peas,Clayey,6.7,22,1972,Calcium Ammonium Nitrate,Leaf Spot - Chlorothalonil
Pomegranate,Clayey Loam,6.3,16,427,NPK Fertilizer,Late Blight - Mancozeb
Pineapple,Loamy,7,24,433,Sulfur Fertilizer,Blister Blight - Copper Oxychloride
Cashew,Loamy,7.5,31,1098,Calcium Ammonium Nitrate,Bud Rot - Copper Oxychloride
Apple,Clayey Loam,6.9,20,955,Potash Fertilizer,Mealybug - Buprofezin
Pomegranate,Mountain,6,18,1584,Urea,Mealybug - Buprofezin
Papaya,Sandy Loam,5.5,13,2335,Organic Compost,Rust - Mancozeb
Basil,Alluvial,7.5,15,2337,Farmyard Manure,Bollworm - Cypermethrin
Mustard,Laterite,7,23,2306,Potash Fertilizer,Powdery Mildew - Sulfur
Potato,Mountain,7.2,34,2478,Potassium Nitrate,Leaf Curl - Imidacloprid
Coconut,Sandy,5.7,13,499,Potash Fertilizer,Anthracnose - Carbendazim
Brinjal,Mountain,6.5,32,1764,Urea,Leaf Spot - Chlorothalonil
Neem,Alluvial,6.1,19,982,Phosphate Fertilizer,Late Blight - Mancozeb
Potato,Mountain,5.7,15,1440,Urea,Blister Blight - Copper Oxychloride
Tomato,Mountain,6.3,15,2193,Potash Fertilizer,Panama Wilt - Thiophanate
Eucalyptus,Loamy,6.8,27,2242,Phosphate Fertilizer,Leaf Curl - Imidacloprid
Spinach,Alluvial,7.1,11,1910,Potassium Nitrate,Leaf Spot - Chlorothalonil
Tomato,Laterite,6.6,12,705,Urea,Late Blight - Mancozeb
Cabbage,Mountain,7.4,35,1769,Farmyard Manure,Bud Rot - Copper Oxychloride
Pomegranate,Sandy,6.8,34,742,Farmyard Manure,Coffee Rust - Propiconazole
Lentils,Sandy Loam,7.1,11,526,Calcium Ammonium Nitrate,Aphids - Imidacloprid
Watermelon,Clayey Loam,7.2,29,1928,Farmyard Manure,Aphids - Imidacloprid
Apple,Mountain,5.7,32,2153,Potassium Nitrate,Stem Borer - Carbaryl
Coffee,Alluvial,6.5,29,1340,Urea,Bollworm - Cypermethrin
Basil,Laterite,6.6,13,1882,Phosphate Fertilizer,Anthracnose - Carbendazim
Wheat,Laterite,6,20,1414,Potassium Nitrate,Rust - Mancozeb
Black Gram,Red,6.2,12,1868,Urea,Scab - Captan
Rice,Clayey,5.7,26,1786,NPK Fertilizer,Red Rot - Carbendazim
Ginger,Mountain,5.8,32,1483,Urea,Blast - Tricyclazole
Blueberry,Clayey,6.5,27,2375,NPK Fertilizer,Panama Wilt - Thiophanate
Cauliflower,Laterite,5.6,15,340,Sulfur Fertilizer,Rust - Propiconazole
Neem,Laterite,5.7,14,2162,Farmyard Manure,Rust - Mancozeb
Sunflower,Laterite,5.7,20,1646,NPK Fertilizer,Blister Blight - Copper Oxychloride
Strawberry,Clayey,7.3,32,2245,Potassium Nitrate,Blister Blight - Copper Oxychloride
Tomato,Clayey Loam,5.7,17,864,DAP,Leaf Curl - Imidacloprid
Mango,Sandy,7,29,2152,Urea,Rust - Mancozeb
Ginger,Loamy,6.3,24,1405,DAP,Stem Borer - Carbaryl
Lentils,Sandy,6.1,27,1583,Potassium Nitrate,Powdery Mildew - Sulfur
Sunflower,Mountain,5.8,10,1176,Calcium Ammonium Nitrate,Bud Rot - Copper Oxychloride
Pineapple,Sandy Loam,6.4,23,1628,Urea,Panama Wilt - Thiophanate
Basil,Alluvial,5.7,22,1510,Urea,Mealybug - Buprofezin
Blueberry,Sandy,6.2,15,731,DAP,Bollworm - Cypermethrin
Radish,Alluvial,6.6,23,835,Urea,Mealybug - Buprofezin
Green Gram,Sandy,6.1,34,1640,Calcium Ammonium Nitrate,Mealybug - Buprofezin
Pineapple,Mountain,6.4,17,672,DAP,Powdery Mildew - Sulfur
Okra,Sandy,7.3,24,1645,Farmyard Manure,Panama Wilt - Thiophanate
Potato,Sandy Loam,7,27,1397,NPK Fertilizer,Stem Borer - Carbaryl
Mango,Alluvial,6.3,35,897,Farmyard Manure,Mealybug - Buprofezin
Brinjal,Clayey,7.3,20,1019,Calcium Ammonium Nitrate,Blister Blight - Copper Oxychloride
Groundnut,Laterite,7.2,14,1197,Potash Fertilizer,Leaf Curl - Imidacloprid
Soybean,Sandy Loam,6.9,16,548,Farmyard Manure,Blister Blight - Copper Oxychloride
Maize,Red,6.6,34,1824,Potassium Nitrate,Blast - Tricyclazole
Pear,Laterite,6.3,22,1175,Phosphate Fertilizer,Bollworm - Cypermethrin
Watermelon,Black,7,31,1585,Potash Fertilizer,Powdery Mildew - Sulfur
Aloe Vera,Sandy Loam,7.1,18,1622,NPK Fertilizer,Late Blight - Mancozeb
Pear,Alluvial,7.3,31,1976,Potash Fertilizer,Bollworm - Cypermethrin
