Plant Name,Soil Type,Soil pH,Temperature,Rainfall,Required Fertilizer,Common Pests & Recommended Pesticides
Spinach,Black,6.9,25,1393,NPK Fertilizer,Red Rot - Carbendazim
Peas,Loamy,7.4,29,1732,Farmyard Manure,Rust - Mancozeb
Rice,Loamy,5.6,15,2427,Farmyard Manure,Blast - Tricyclazole
Mango,Sandy Loam,5.7,34,1800,Urea,Leaf Curl - Imidacloprid
Jute,Sandy Loam,6.5,23,1860,Phosphate Fertilizer,Blister Blight - Copper Oxychloride
Coconut,Black,5.6,29,1418,Potash Fertilizer,Blister Blight - Copper Oxychloride
Papaya,Clayey,7,31,1607,DAP,Blast - Tricyclazole
Peas,Black,5.6,13,889,Potassium Nitrate,Leaf Curl - Imidacloprid
Rice,Clayey,7.2,30,2450,Farmyard Manure,Mealybug - Buprofezin
Spinach,Black,6.5,10,917,Phosphate Fertilizer,Panama Wilt - Thiophanate
Apple,Red,6.7,26,981,Phosphate Fertilizer,Late Blight - Mancozeb
Sugarcane,Sandy,6.4,34,1957,Potash Fertilizer,Mealybug - Buprofezin
Wheat,Clayey,6.2,10,2132,Phosphate Fertilizer,Aphids - Imidacloprid
Spinach,Alluvial,7.2,10,1874,Urea,Thrips - Spinosad
Eucalyptus,Sandy Loam,7.3,15,1327,NPK Fertilizer,Red Rot - Carbendazim
Blueberry,Sandy,7.1,15,2478,Phosphate Fertilizer,Bud Rot - Copper Oxychloride
Aloe Vera,Black,6.3,23,1546,Organic Compost,Leaf Curl - Imidacloprid
Black Gram,Laterite,6.3,27,974,Potash Fertilizer,Late Blight - Mancozeb
Guava,Sandy Loam,6.1,34,657,DAP,Red Rot - Carbendazim
Radish,Clayey,6.5,10,2385,Calcium Ammonium Nitrate,Rust - Mancozeb
Black Gram,Alluvial,6,14,681,Phosphate Fertilizer,Blister Blight - Copper Oxychloride
Guava,Sandy,6.7,30,953,Calcium Ammonium Nitrate,Late Blight - Mancozeb
Strawberry,Sandy,7.1,13,1453,Potassium Nitrate,Late Blight - Mancozeb
Banana,Loamy,7.2,27,2495,NPK Fertilizer,Stem Borer - Carbaryl
Pumpkin,Sandy,6,17,990,Potassium Nitrate,Thrips - Spinosad
Soybean,Alluvial,5.5,13,1020,Organic Compost,Blast - Tricyclazole
Spinach,Sandy,6.9,23,1445,Phosphate Fertilizer,Late Blight - Mancozeb
Guava,Loamy,5.8,25,590,Organic Compost,Late Blight - Mancozeb
Wheat,Clayey,6.3,33,1494,Calcium Ammonium Nitrate,Powdery Mildew - Sulfur
Guava,Alluvial,6.5,11,905,Farmyard Manure,Bud Rot - Copper Oxychloride
Mustard,Loamy,5.7,22,1487,Sulfur Fertilizer,Scab - Captan
Cotton,Clayey Loam,6.4,11,2163,Urea,Anthracnose - Carbendazim
Blueberry,Black,7.3,14,595,Urea,Leaf Curl - Imidacloprid
Cotton,Red,5.8,15,2362,Calcium Ammonium Nitrate,Panama Wilt - Thiophanate
Black Gram,Loamy,6.5,25,509,Urea,Rust - Mancozeb
Radish,Black,7,15,315,Phosphate Fertilizer,Anthracnose - Carbendazim
Pear,Loamy,7.4,10,1336,NPK Fertilizer,Stem Borer - Carbaryl
Apple,Red,7.1,14,883,DAP,Mealybug - Buprofezin
Lentils,Clayey Loam,6.6,22,1341,DAP,Stem Borer - Carbaryl
Onion,Clayey Loam,7.4,14,2030,Sulfur Fertilizer,Bollworm - Cypermethrin
Sugarcane,Alluvial,5.5,21,1095,Sulfur Fertilizer,Coffee Rust - Propiconazole
Cabbage,Clayey,7.3,18,1890,Urea,Coffee Rust - Propiconazole
Neem,Loamy,7.3,19,1642,Farmyard Manure,Coffee Rust - Propiconazole
Sugarcane,Loamy,7.3,19,1640,Phosphate Fertilizer,Blast - Tricyclazole
Chili,Mountain,6.9,27,491,Potassium Nitrate,Scab - Captan
Peach,Alluvial,6.8,31,321,Potash Fertilizer,Red Rot - Carbendazim
Aloe Vera,Clayey,5.8,23,2261,Calcium Ammonium Nitrate,Red Rot - Carbendazim
Pineapple,Clayey,5.8,23,1412,NPK Fertilizer,Bud Rot - Copper Oxychloride
Onion,Sandy,6.9,13,1505,Potash Fertilizer,Blast - Tricyclazole
Rice,Laterite,6.9,27,579,Potash Fertilizer,Rust - Propiconazole
Tomato,Alluvial,7.2,25,1225,Calcium Ammonium Nitrate,Bollworm - Cypermethrin
Cauliflower,Red,6,17,1587,Urea,Stem Borer - Carbaryl
Banana,Black,7.2,16,2306,Farmyard Manure,Thrips - Spinosad
Maize,Clayey Loam,6.6,13,1212,Urea,Powdery Mildew - Sulfur
Eucalyptus,Black,6.3,31,1821,Urea,Coffee Rust - Propiconazole
Pomegranate,Red,6.9,14,2480,Calcium Ammonium Nitrate,Powdery Mildew - Sulfur
Groundnut,Clayey Loam,7.2,32,2494,DAP,Rust - Mancozeb
Okra,Mountain,6.3,20,330,Potassium Nitrate,Late Blight - Mancozeb
Jackfruit,Sandy Loam,6.4,22,1234,Potash Fertilizer,Blast - Tricyclazole
Jackfruit,Clayey,5.9,33,612,DAP,Aphids - Imidacloprid
Pumpkin,Alluvial,6.3,21,2257,Potassium Nitrate,Bollworm - Cypermethrin
Tomato,Loamy,7.1,25,813,Farmyard Manure,Bollworm - Cypermethrin
Peach,Clayey Loam,6,16,1036,Potash Fertilizer,Panama Wilt - Thiophanate
Black Gram,Loamy,6.3,14,1682,DAP,Stem Borer - Carbaryl
Chili,Loamy,7.5,27,964,NPK Fertilizer,Coffee Rust - Propiconazole
Sugarcane,Mountain,6.5,14,1979,Sulfur Fertilizer,Leaf Curl - Imidacloprid
Green Gram,Black,6.2,25,2447,Organic Compost,Late Blight - Mancozeb
Spinach,Black,5.8,16,357,NPK Fertilizer,Leaf Spot - Chlorothalonil
Black Gram,Clayey Loam,6,28,533,Potash Fertilizer,Powdery Mildew - Sulfur
Radish,Sandy Loam,7.2,10,1116,Calcium Ammonium Nitrate,Blister Blight - Copper Oxychloride
Radish,Black,5.7,26,1984,Potash Fertilizer,Leaf Spot - Chlorothalonil
Guava,Laterite,6.5,24,1179,Farmyard Manure,Stem Borer - Carbaryl
Cabbage,Sandy Loam,7.1,33,620,Farmyard Manure,Thrips - Spinosad
Brinjal,Clayey Loam,6.8,15,2028,Sulfur Fertilizer,Scab - Captan
Neem,Mountain,6.9,24,1278,Calcium Ammonium Nitrate,Leaf Spot - Chlorothalonil
Mango,Clayey,7.5,11,549,Organic Compost,Aphids - Imidacloprid
Brinjal,Sandy,6.8,25,2202,NPK Fertilizer,Leaf Spot - Chlorothalonil
Black Gram,Sandy,7,11,2041,Sulfur Fertilizer,Bollworm - Cypermethrin
Spinach,Black,6.5,10,2374,Farmyard Manure,Panama Wilt - Thiophanate
Pomegranate,Black,7.1,30,1764,NPK Fertilizer,Leaf Spot - Chlorothalonil
Chili,Mountain,7.5,32,2149,Farmyard Manure,Blast - Tricyclazole
Mango,Sandy Loam,6.9,16,1363,Calcium Ammonium Nitrate,Leaf Curl - Imidacloprid
Mahogany,Clayey Loam,5.8,25,2318,Potassium Nitrate,Blast - Tricyclazole
Mustard,Black,7.4,11,1789,Urea,Leaf Spot - Chlorothalonil
Spinach,Sandy Loam,6.7,13,1450,Potash Fertilizer,Rust - Propiconazole
Pumpkin,Sandy Loam,5.8,11,1687,DAP,Blast - Tricyclazole
Green Gram,Sandy,7,16,1260,Potash Fertilizer,Anthracnose - Carbendazim
Groundnut,Clayey,7.4,14,2079,Organic Compost,Aphids - Imidacloprid
Cauliflower,Sandy,6.4,22,790,Potassium Nitrate,Red Rot - Carbendazim
Pomegranate,Loamy,6.7,17,2074,Organic Compost,Rust - Propiconazole
Sunflower,Red,5.9,33,1266,NPK Fertilizer,Aphids - Imidacloprid
Groundnut,Red,6.6,31,1011,NPK Fertilizer,Blister Blight - Copper Oxychloride
Peas,Loamy,6.4,22,2489,Sulfur Fertilizer,Bollworm - Cypermethrin
Ginger,Black,6.8,33,418,NPK Fertilizer,Red Rot - Carbendazim
Aloe Vera,Loamy,7.1,30,1855,Urea,Panama Wilt - Thiophanate
Carrot,Sandy Loam,7.4,32,377,Potash Fertilizer,Mealybug - Buprofezin
Coffee,Mountain,7,12,1176,Potash Fertilizer,Blister Blight - Copper Oxychloride
Potato,Mountain,6.4,31,600,Potash Fertilizer,Leaf Curl - Imidacloprid
Soybean,Alluvial,7.4,12,675,NPK Fertilizer,Panama Wilt - Thiophanate
Banana,Sandy Loam,7.5,22,1126,Urea,Panama Wilt - Thiophanate
Sunflower,Loamy,6.8,35,1214,Organic Compost,Thrips - Spinosad
Cashew,Alluvial,5.7,31,2347,Sulfur Fertilizer,Blast - Tricyclazole
Peas,Clayey,7.1,35,2185,DAP,Aphids - Imidacloprid
Wheat,Clayey Loam,6.1,20,1868,Urea,Blast - Tricyclazole
Coconut,Clayey Loam,5.9,30,728,Farmyard Manure,Mealybug - Buprofezin
Tomato,Laterite,5.7,30,484,Organic Compost,Late Blight - Mancozeb
Green Gram,Clayey Loam,6.4,31,1580,NPK Fertilizer,Aphids - Imidacloprid
Sugarcane,Laterite,6.1,22,1908,Farmyard Manure,Coffee Rust - Propiconazole
Potato,Black,5.5,21,387,Organic Compost,Anthracnose - Carbendazim
Pear,Clayey Loam,5.9,15,529,Potassium Nitrate,Red Rot - Carbendazim
Blueberry,Clayey Loam,7,33,2266,Urea,Bollworm - Cypermethrin
Potato,Black,5.9,28,2299,Potassium Nitrate,Mealybug - Buprofezin
Guava,Sandy Loam,7.3,31,1688,Farmyard Manure,Anthracnose - Carbendazim
Peach,Clayey,6.5,34,940,Organic Compost,Rust - Propiconazole
Blueberry,Mountain,7.4,19,2458,Phosphate Fertilizer,Thrips - Spinosad
Mango,Sandy Loam,5.8,17,850,Potassium Nitrate,Aphids - Imidacloprid
Mahogany,Sandy Loam,7,31,2424,Urea,Rust - Propiconazole
Okra,Red,7.5,13,1726,Organic Compost,Red Rot - Carbendazim
Watermelon,Sandy,7.5,29,1478,DAP,Stem Borer - Carbaryl
Black Gram,Alluvial,5.7,21,1986,Sulfur Fertilizer,Rust - Propiconazole
Soybean,Mountain,5.7,27,2435,Potash Fertilizer,Mealybug - Buprofezin
Neem,Loamy,6.7,11,1446,Potassium Nitrate,Stem Borer - Carbaryl
Lentils,Sandy,6.3,18,1952,Organic Compost,Red Rot - Carbendazim
Brinjal,Black,6.7,22,1150,Potassium Nitrate,Leaf Curl - Imidacloprid
Mustard,Black,5.7,15,2429,Farmyard Manure,Thrips - Spinosad
Ginger,Alluvial,6.2,12,1654,NPK Fertilizer,Stem Borer - Carbaryl
Turmeric,Sandy Loam,5.7,32,1969,Potash Fertilizer,Red Rot - Carbendazim
Blueberry,Clayey Loam,6.3,32,1089,Calcium Ammonium Nitrate,Bollworm - Cypermethrin
Maize,Black,5.9,13,2269,Potassium Nitrate,Stem Borer - Carbaryl
Papaya,Clayey,5.7,13,341,DAP,Panama Wilt - Thiophanate
Okra,Sandy,7.5,29,1814,Potash Fertilizer,Late Blight - Mancozeb
Soybean,Black,6.5,20,981,Potash Fertilizer,Blast - Tricyclazole
Peas,Sandy,7.4,13,1018,Organic Compost,Late Blight - Mancozeb
Cashew,Loamy,6.4,19,2286,Urea,Blast - Tricyclazole
Neem,Loamy,5.9,18,1342,DAP,Leaf Curl - Imidacloprid
Brinjal,Sandy,6,27,1649,Calcium Ammonium Nitrate,Thrips - Spinosad
Jackfruit,Clayey,7,23,1976,Farmyard Manure,Bollworm - Cypermethrin
Mustard,Red,5.7,18,2363,Urea,Scab - Captan
Chili,Laterite,7.4,17,1743,Sulfur Fertilizer,Rust - Propiconazole
Cashew,Alluvial,5.9,12,2154,Potash Fertilizer,Mealybug - Buprofezin
Sunflower,Red,5.8,14,1276,DAP,Leaf Spot - Chlorothalonil
Mango,Clayey,6,14,1619,NPK Fertilizer,Anthracnose - Carbendazim
Apple,Clayey,7.2,19,598,Urea,Coffee Rust - Propiconazole
Watermelon,Alluvial,7,35,347,Potassium Nitrate,Blister Blight - Copper Oxychloride
Bamboo,Sandy Loam,5.6,27,2128,Potassium Nitrate,Blast - Tricyclazole
Wheat,Red,7,33,1849,Phosphate Fertilizer,Scab - Captan
Peach,Sandy,6.5,19,1137,DAP,Blast - Tricyclazole
Aloe Vera,Clayey Loam,6.5,30,1129,Sulfur Fertilizer,Mealybug - Buprofezin
Okra,Mountain,7.4,17,2403,Calcium Ammonium Nitrate,Scab - Captan
Apple,Alluvial,7,28,1279,Phosphate Fertilizer,Scab - Captan
Apple,Laterite,5.8,15,1160,Farmyard Manure,Leaf Curl - Imidacloprid
Ginger,Clayey Loam,5.8,30,2175,Potassium Nitrate,Thrips - Spinosad
Carrot,Mountain,5.8,32,627,DAP,Coffee Rust - Propiconazole
Strawberry,Loamy,7,19,2231,NPK Fertilizer,Bollworm - Cypermethrin
Neem,Sandy,6.2,28,1409,Potassium Nitrate,Thrips - Spinosad
Black Gram,Clayey,6.4,12,380,Sulfur Fertilizer,Mealybug - Buprofezin
Pear,Clayey,6.1,31,1058,Potash Fertilizer,Scab - Captan
Cotton,Clayey,7.3,19,1297,Potassium Nitrate,Anthracnose - Carbendazim
Coconut,Loamy,7.2,29,1240,DAP,Stem Borer - Carbaryl
Cabbage,Clayey,6.6,21,2108,DAP,Bud Rot - Copper Oxychloride
Black Gram,Black,6,16,1360,Organic Compost,Blast - Tricyclazole
Brinjal,Clayey Loam,6.7,19,513,NPK Fertilizer,Aphids - Imidacloprid
Mustard,Loamy,7.3,35,829,NPK Fertilizer,Blister Blight - Copper Oxychloride
Radish,Clayey Loam,5.6,32,1867,Urea,Leaf Spot - Chlorothalonil
Sugarcane,Sandy,6.3,32,1415,Potassium Nitrate,Leaf Spot - Chlorothalonil
Carrot,Laterite,6.3,16,584,DAP,Aphids - Imidacloprid
Carrot,Laterite,5.9,15,534,Sulfur Fertilizer,Bollworm - Cypermethrin
Coffee,Red,6.5,32,2257,Sulfur Fertilizer,Powdery Mildew - Sulfur
Tomato,Clayey Loam,7,29,534,Farmyard Manure,Stem Borer - Carbaryl
Bamboo,Alluvial,6.8,31,404,Urea,Leaf Curl - Imidacloprid
Cauliflower,Loamy,6,24,722,Farmyard Manure,Mealybug - Buprofezin
Basil,Alluvial,6.2,11,2466,Farmyard Manure,Aphids - Imidacloprid
Coffee,Black,7.4,19,1963,DAP,Blast - Tricyclazole
Black Gram,Clayey Loam,7.4,28,1436,Calcium Ammonium Nitrate,Bollworm - Cypermethrin
Basil,Sandy,5.7,25,1894,Phosphate Fertilizer,Stem Borer - Carbaryl
Maize,Red,7,17,636,NPK Fertilizer,Aphids - Imidacloprid
Watermelon,Clayey Loam,5.5,20,780,Farmyard Manure,Leaf Curl - Imidacloprid
Cauliflower,Laterite,6.7,11,626,Potash Fertilizer,Powdery Mildew - Sulfur
Soybean,Red,7.3,24,1986,Sulfur Fertilizer,Powdery Mildew - Sulfur
Blueberry,Loamy,7.2,32,1336,Phosphate Fertilizer,Scab - Captan
Cabbage,Loamy,5.9,17,497,NPK Fertilizer,Mealybug - Buprofezin
Cauliflower,Sandy Loam,5.7,12,1082,Urea,Late Blight - Mancozeb
Soybean,Mountain,6.1,26,2037,Urea,Leaf Curl - Imidacloprid
Chili,Sandy,5.6,20,2154,Potassium Nitrate,Blast - Tricyclazole
Carrot,Black,7.3,29,1984,Urea,Panama Wilt - Thiophanate
Radish,Alluvial,7.2,10,1390,DAP,Bud Rot - Copper Oxychloride
Brinjal,Sandy Loam,6.5,13,1260,Potash Fertilizer,Anthracnose - Carbendazim
Strawberry,Laterite,6.8,21,2238,Organic Compost,Late Blight - Mancozeb
Turmeric,Sandy,6.6,33,2139,Sulfur Fertilizer,Anthracnose - Carbendazim
Carrot,Clayey,6.1,25,446,Potash Fertilizer,Stem Borer - Carbaryl
Aloe Vera,Loamy,7.1,10,2026,Calcium Ammonium Nitrate,Late Blight - Mancozeb
Sugarcane,Black,6.5,35,1624,NPK Fertilizer,Leaf Curl - Imidacloprid
Ginger,Clayey,5.6,18,1333,Calcium Ammonium Nitrate,Bollworm - Cypermethrin
Peach,Loamy,6.1,16,2149,Sulfur Fertilizer,Mealybug - Buprofezin
Jute,Loamy,5.7,19,337,DAP,Rust - Propiconazole
Tomato,Laterite,6.7,16,499,Phosphate Fertilizer,Panama Wilt - Thiophanate
Bamboo,Clayey Loam,5.8,25,2083,Potassium Nitrate,Bud Rot - Copper Oxychloride
Groundnut,Red,7.4,32,2201,Organic Compost,Aphids - Imidacloprid
Neem,Laterite,7.3,29,1673,Potassium Nitrate,Coffee Rust - Propiconazole
Mustard,Mountain,7,19,2067,Calcium Ammonium Nitrate,Mealybug - Buprofezin
Papaya,Sandy,6.3,16,1623,DAP,Panama Wilt - Thiophanate
Soybean,Laterite,7,22,1687,Potassium Nitrate,Bud Rot - Copper Oxychloride
Aloe Vera,Mountain,7.4,15,1412,Potassium Nitrate,Blister Blight - Copper Oxychloride
Potato,Clayey,6.2,35,999,Potassium Nitrate,Late Blight - Mancozeb
Chili,Sandy Loam,6.5,35,1203,Farmyard Manure,Anthracnose - Carbendazim
Black Gram,Laterite,7.2,25,890,Farmyard Manure,Blister Blight - Copper Oxychloride
Peach,Clayey Loam,7.1,29,2140,Calcium Ammonium Nitrate,Bollworm - Cypermethrin
Blueberry,Clayey Loam,7.1,20,1304,NPK Fertilizer,Scab - Captan
Coconut,Red,7.1,35,2236,Potash Fertilizer,Bud Rot - Copper Oxychloride
Basil,Black,6.7,34,1408,Urea,Coffee Rust - Propiconazole
Pineapple,Sandy Loam,6.2,23,1533,Phosphate Fertilizer,Mealybug - Buprofezin
Pineapple,Clayey,7.3,24,1815,Urea,Coffee Rust - Propiconazole
Cabbage,Black,5.9,24,998,Calcium Ammonium Nitrate,Red Rot - Carbendazim
Bamboo,Mountain,6.8,20,708,NPK Fertilizer,Panama Wilt - Thiophanate
Groundnut,Sandy Loam,7.2,24,1499,Organic Compost,Blast - Tricyclazole
Jute,Sandy,6.4,25,811,Urea,Anthracnose - Carbendazim
Strawberry,Clayey Loam,6.4,14,1559,Urea,Late Blight - Mancozeb
Pomegranate,Mountain,6.7,27,1024,Potash Fertilizer,Late Blight - Mancozeb
Cauliflower,Sandy Loam,5.8,32,1457,Potassium Nitrate,Rust - Mancozeb
Black Gram,Loamy,5.5,29,333,NPK Fertilizer,Panama Wilt - Thiophanate
Maize,Laterite,7.5,19,2314,Sulfur Fertilizer,Bollworm - Cypermethrin
Peach,Red,7.1,31,941,Farmyard Manure,Thrips - Spinosad
Radish,Loamy,6,29,1693,Phosphate Fertilizer,Red Rot - Carbendazim
Peach,Mountain,6.7,31,1316,DAP,Leaf Spot - Chlorothalonil
Okra,Sandy Loam,6.2,14,590,Phosphate Fertilizer,Anthracnose - Carbendazim
Radish,Clayey,5.9,25,1285,NPK Fertilizer,Red Rot - Carbendazim
Spinach,Loamy,6.5,21,1704,Phosphate Fertilizer,Coffee Rust - Propiconazole
Cauliflower,Clayey,6.6,22,807,Potassium Nitrate,Anthracnose - Carbendazim
Black Gram,Loamy,7.3,24,1387,Organic Compost,Mealybug - Buprofezin
Peas,Alluvial,6.9,30,1380,Urea,Late Blight - Mancozeb
Cotton,Alluvial,6.1,16,1069,Potash Fertilizer,Leaf Spot - Chlorothalonil
Peas,Sandy,7.1,30,300,Calcium Ammonium Nitrate,Stem Borer - Carbaryl
Coffee,Loamy,6,32,1316,Potassium Nitrate,Rust - Propiconazole
Jute,Loamy,7.1,13,601,Farmyard Manure,Bud Rot - Copper Oxychloride
Ginger,Black,6.4,28,1550,Potash Fertilizer,Mealybug - Buprofezin
Soybean,Sandy,7.2,27,2116,Potassium Nitrate,Mealybug - Buprofezin
Guava,Loamy,7.4,17,1052,Sulfur Fertilizer,Coffee Rust - Propiconazole
Apple,Clayey Loam,7.3,22,1205,Sulfur Fertilizer,Blister Blight - Copper Oxychloride
Rice,Black,6.5,20,2033,Phosphate Fertilizer,Leaf Curl - Imidacloprid
Bamboo,Clayey,5.6,27,1642,Farmyard Manure,Bollworm - Cypermethrin
Carrot,Mountain,7.2,12,2330,Organic Compost,Blast - Tricyclazole
Mustard,Black,6.1,24,1616,Farmyard Manure,Blister Blight - Copper Oxychloride
Strawberry,Mountain,6.3,16,1058,Calcium Ammonium Nitrate,Blister Blight - Copper Oxychloride
Spinach,Loamy,6,25,711,Urea,Rust - Mancozeb
Lentils,Alluvial,7.3,19,2232,Urea,Leaf Curl - Imidacloprid
Coffee,Laterite,5.7,23,487,Potassium Nitrate,Mealybug - Buprofezin
Jackfruit,Black,7,28,1962,Calcium Ammonium Nitrate,Rust - Mancozeb
Apple,Alluvial,6.4,34,547,NPK Fertilizer,Powdery Mildew - Sulfur
Jackfruit,Alluvial,6.2,19,2143,Farmyard Manure,Anthracnose - Carbendazim
Neem,Clayey,7.5,19,2223,Calcium Ammonium Nitrate,Coffee Rust - Propiconazole
Cashew,Sandy,7.5,24,504,Urea,Coffee Rust - Propiconazole
Cashew,Sandy,6.4,19,1402,Potassium Nitrate,Aphids - Imidacloprid
Black Gram,Laterite,7,20,1519,Farmyard Manure,Bollworm - Cypermethrin
Apple,Loamy,6,17,2420,Potash Fertilizer,Blister Blight - Copper Oxychloride
Tea,Sandy,6.7,21,926,Farmyard Manure,Red Rot - Carbendazim
Brinjal,Clayey,5.8,24,2181,DAP,Coffee Rust - Propiconazole
Eucalyptus,Red,6.1,22,2390,Sulfur Fertilizer,Coffee Rust - Propiconazole
Radish,Sandy,5.7,20,2079,Farmyard Manure,Red Rot - Carbendazim
Mango,Clayey Loam,6.5,20,2365,Farmyard Manure,Red Rot - Carbendazim
Strawberry,Sandy,6.6,29,1851,Phosphate Fertilizer,Thrips - Spinosad
Neem,Clayey Loam,6.8,22,1497,Urea,Late Blight - Mancozeb
Ginger,Loamy,6.8,18,1404,Farmyard Manure,Blast - Tricyclazole
Sugarcane,Clayey,6.8,13,314,Urea,Red Rot - Carbendazim
Okra,Clayey Loam,5.6,21,1883,NPK Fertilizer,Rust - Mancozeb
Pomegranate,Black,5.9,12,578,Potash Fertilizer,Blast - Tricyclazole
Jackfruit,Sandy Loam,6.3,27,1573,Potassium Nitrate,Aphids - Imidacloprid
Mahogany,Black,5.9,14,1519,DAP,Blast - Tricyclazole
Basil,Mountain,5.8,10,1222,Potash Fertilizer,Thrips - Spinosad
Radish,Red,5.7,15,311,Potash Fertilizer,Aphids - Imidacloprid
Watermelon,Alluvial,6.8,30,2443,Urea,Leaf Spot - Chlorothalonil
Watermelon,Loamy,7.4,16,1155,Potash Fertilizer,Rust - Propiconazole
Black Gram,Red,7,34,2489,NPK Fertilizer,Rust - Mancozeb
Rice,Loamy,5.8,32,1330,Organic Compost,Panama Wilt - Thiophanate
Groundnut,Sandy,6.7,18,728,Calcium Ammonium Nitrate,Blast - Tricyclazole
Pumpkin,Clayey,6.9,33,668,Potash Fertilizer,Coffee Rust - Propiconazole
Guava,Clayey Loam,6.9,19,2351,NPK Fertilizer,Panama Wilt - Thiophanate
Tomato,Clayey,6.5,20,733,Calcium Ammonium Nitrate,Blast - Tricyclazole
Wheat,Alluvial,5.8,12,2216,Potassium Nitrate,Blister Blight - Copper Oxychloride
Carrot,Alluvial,5.9,17,318,Sulfur Fertilizer,Thrips - Spinosad
Coconut,Laterite,6.3,15,2388,Organic Compost,Leaf Spot - Chlorothalonil
Turmeric,Alluvial,5.8,12,865,Farmyard Manure,Mealybug - Buprofezin
Pineapple,Loamy,5.5,23,330,Potassium Nitrate,Panama Wilt - Thiophanate
Wheat,Black,6.2,20,1863,Potassium Nitrate,Rust - Mancozeb
Black Gram,Alluvial,6.2,19,1556,Potassium Nitrate,Blister Blight - Copper Oxychloride
Tea,Laterite,6.3,28,1285,Calcium Ammonium Nitrate,Red Rot - Carbendazim
Wheat,Loamy,6.6,22,1192,Sulfur Fertilizer,Bud Rot - Copper Oxychloride
Jute,Alluvial,5.9,11,1133,Urea,Scab - Captan
Turmeric,Red,6.2,11,2160,Potassium Nitrate,Aphids - Imidacloprid
Neem,Mountain,6.2,33,1656,Urea,Anthracnose - Carbendazim
Coconut,Clayey Loam,7.1,14,538,Farmyard Manure,Anthracnose - Carbendazim
Green Gram,Sandy,7.2,10,863,Calcium Ammonium Nitrate,Mealybug - Buprofezin
Eucalyptus,Black,7.2,17,891,DAP,Leaf Spot - Chlorothalonil
Pineapple,Red,6.8,32,597,Urea,Rust - Mancozeb
Radish,Sandy Loam,6.1,14,1525,Farmyard Manure,Bollworm - Cypermethrin
Cotton,Black,5.9,30,1940,Potassium Nitrate,Bud Rot - Copper Oxychloride
Onion,Clayey,7,16,2124,Sulfur Fertilizer,Late Blight - Mancozeb
Coconut,Loamy,7.2,28,1872,DAP,Stem Borer - Carbaryl
Jute,Loamy,7.2,26,2140,NPK Fertilizer,Red Rot - Carbendazim
Potato,Loamy,6.1,25,1158,NPK Fertilizer,Mealybug - Buprofezin
Strawberry,Mountain,6,28,1249,Organic Compost,Blast - Tricyclazole
Spinach,Sandy,6.9,23,1731,Organic Compost,Thrips - Spinosad
Mustard,Clayey,6.7,27,663,Calcium Ammonium Nitrate,Coffee Rust - Propiconazole
Watermelon,Mountain,7,14,825,Calcium Ammonium Nitrate,Bud Rot - Copper Oxychloride
Peach,Clayey Loam,6.7,32,1664,Farmyard Manure,Scab - Captan
Cabbage,Alluvial,6,24,1154,DAP,Blast - Tricyclazole
Green Gram,Black,5.9,14,1495,Phosphate Fertilizer,Rust - Mancozeb
Cotton,Alluvial,6.9,28,1773,Potash Fertilizer,Rust - Mancozeb
Peach,Alluvial,6.8,32,1438,DAP,Red Rot - Carbendazim
Radish,Mountain,7,10,2415,Urea,Panama Wilt - Thiophanate
Guava,Sandy Loam,6,32,438,Phosphate Fertilizer,Anthracnose - Carbendazim
Watermelon,Clayey,7.1,24,1273,Potash Fertilizer,Coffee Rust - Propiconazole
Papaya,Alluvial,6,31,2011,Urea,Rust - Mancozeb
Basil,Laterite,7.2,21,912,Urea,Powdery Mildew - Sulfur
Peas,Loamy,7,12,789,Urea,Rust - Propiconazole
Apple,Alluvial,7.3,25,1258,DAP,Red Rot - Carbendazim
Guava,Mountain,7,21,2486,Organic Compost,Red Rot - Carbendazim
Potato,Red,5.8,12,1144,Calcium Ammonium Nitrate,Panama Wilt - Thiophanate
Potato,Black,6,24,1704,Potassium Nitrate,Powdery Mildew - Sulfur
Soybean,Clayey Loam,7.1,33,914,Calcium Ammonium Nitrate,Aphids - Imidacloprid
Chili,Clayey,7.2,35,1233,Potassium Nitrate,Powdery Mildew - Sulfur
Mustard,Loamy,7.4,30,805,Organic Compost,Blister Blight - Copper Oxychloride
Rice,Mountain,6.5,25,1893,Farmyard Manure,Panama Wilt - Thiophanate
Mango,Clayey,6.9,18,1739,Calcium Ammonium Nitrate,Anthracnose - Carbendazim
Groundnut,Sandy,7,33,1778,Sulfur Fertilizer,Rust - Mancozeb
Radish,Clayey Loam,6.5,10,1854,Potash Fertilizer,Red Rot - Carbendazim
Soybean,Sandy,7.2,21,738,Potash Fertilizer,Panama Wilt - Thiophanate
Aloe Vera,Sandy Loam,5.8,29,1140,Sulfur Fertilizer,Mealybug - Buprofezin
Spinach,Alluvial,6.9,35,1084,Phosphate Fertilizer,Leaf Spot - Chlorothalonil
Pomegranate,Red,6.3,15,2198,Organic Compost,Powdery Mildew - Sulfur
Eucalyptus,Laterite,6.7,11,2224,Potash Fertilizer,Scab - Captan
Cashew,Sandy Loam,5.8,15,1985,Organic Compost,Late Blight - Mancozeb
Cotton,Sandy,7.2,31,2188,Calcium Ammonium Nitrate,Bollworm - Cypermethrin
Mustard,Loamy,7,12,584,NPK Fertilizer,Panama Wilt - Thiophanate
Wheat,Sandy Loam,5.8,16,1482,Potash Fertilizer,Bollworm - Cypermethrin
